pk,equipo,nombre,casaca
"1","RAC","De Olivera","21"
"2","RAC","Corvalan","32"
"3","RAC","Ortiz","19"
"4","RAC","Pillud","4"
"5","RAC","Cahais","6"
"6","RAC","Villar","8"
"7","RAC","Pelletieri","5"
"8","RAC","Aued","22"
"9","RAC","Centurión","26"
"10","RAC","Vietto","36"
"11","RAC","Sand","9"
"12","BOC","Ustari","23"
"13","BOC","Clemente Rodríguez","3"
"14","BOC","Schiavi","2"
"15","BOC","Burdisso","20"
"16","BOC","Sanchez Miño","28"
"17","BOC","Ledesma","16"
"18","BOC","Somoza","18"
"19","BOC","Erviti","11"
"20","BOC","Chavez","21"
"21","BOC","Silva","19"
"22","BOC","Viatri","9"
"23","BAR","Valdés","1"
"24","BAR","Dani Alves","2"
"25","BAR","Puyol","5"
"26","BAR","Piqué","3"
"27","BAR","Abidal","22"
"28","BAR","Sergio Busquets","16"
"29","BAR","Xavi","6"
"30","BAR","Cesc Fábregas","4"
"31","BAR","Iniesta","8"
"32","BAR","Messi","10"
"33","BAR","Villa","7"
"34","INT","Handanovic","3"
"35","INT","Ranocchi","23"
"36","INT","Pereira","17"
"37","INT","Lucio","6"
"38","INT","Nagatomo","55"
"39","INT","Guarín","15"
"40","INT","Cambiasso","19"
"41","INT","Zanetti","4"
"42","INT","Sneijder","10"
"43","INT","Pazzini","7"
"44","INT","Palacio","14"
"45","RMA","Casillas","1"
"46","RMA","Sergio Ramos","4"
"47","RMA","Pepe","3"
"48","RMA","Carvalho","2"
"49","RMA","Marceo","12"
"50","RMA","Xabi Alonso","14"
"51","RMA","Kaká","8"
"52","RMA","Di María","22"
"53","RMA","Cristiano Ronaldo","7"
"54","RMA","Ozil","10"
"55","RMA","Benzema","9"
"56","MIL","Abbiati","32"
"57","MIL","Abate","20"
"58","MIL","Mexes","5"
"59","MIL","Nesta","13"
"60","MIL","Yepes","76"
"61","MIL","Ambrosini","23"
"62","MIL","Seadorf","10"
"63","MIL","Nocerino","24"
"64","MIL","Boateng","27"
"65","MIL","Alexandre Pato","7"
"66","MIL","Pazzini","11"
"67","CHE","Cech","1"
"68","CHE","Bosingwa","17"
"69","CHE","Ivanovich","2"
"70","CHE","Terry","26"
"71","CHE","Ashley Cole","3"
"72","CHE","Mickel","12"
"73","CHE","Ramires","7"
"74","CHE","Mata","10"
"75","CHE","Lampard","8"
"76","CHE","Torres","9"
"77","CHE","Drogba","11"
"78","BAR","Suplente","99"
"79","BAR","Suplente 2","98"
"80","RIV","Barovero","1"
"81","RIV","González Pirez","2"
"82","RIV","Pezzella","3"
"83","RIV","Botinelli","4"
"84","RIV","Ramiro Funes Mori","5"
"85","RIV","Cárlos Sánchez","6"
"86","RIV","Cirigliano","7"
"87","RIV","Ponzio","8"
"88","RIV","Aguirre","9"
"89","RIV","Luna","33"
"90","RIV","Mora","11"
"91","RIV","Trezeguet","12"
"92","RIV","Abecasis","13"
"93","RIV","Arano","14"
"94","RIV","Maidana","15"
"95","RIV","Mercado","16"
"96","RIV","Acevedo","17"
"97","RIV","Affanchino","18"
"98","RIV","Aguirre","19"
"99","RIV","Lanzini","10"
"100","RIV","Rojas","21"
"101","RIV","Rogelio Funes Mori","22"
"102","RIV","Luna","23"
"103","RIV","Ocampos","24"
"104","QAC","Acevedo","34"
"105","QAC","Benítez","12"
"106","QAC","Dulcich","25"
"107","QAC","Tripodi","1"
"108","QAC","Alegre","31"
"109","QAC","Carli","6"
"110","QAC","Goñi","3"
"111","QAC","Lema","23"
"112","QAC","Leyes","24"
"113","QAC","Lima","13"
"114","QAC","Martínez","2"
"115","QAC","Olivera","20"
"116","QAC","Quiles","14"
"117","QAC","Ravest","27"
"118","QAC","Serrano","4"
"119","QAC","Caneo","10"
"120","QAC","Carrasco","32"
"121","QAC","Cobo","5"
"122","QAC","Díaz","8"
"123","QAC","Elizari","36"
"124","QAC","Garnier","26"
"125","QAC","López","15"
"126","QAC","Mandarino","22"
"127","QAC","Mansilla","19"
"128","QAC","Mattos","35"
"129","QAC","Morales","29"
"130","QAC","Nuñez","21"
"131","QAC","Romero","17"
"132","QAC","Cauteruccio","7"
"133","QAC","Diz","11"
"134","QAC","Giménez","28"
"135","QAC","Insaurralde","30"
"136","QAC","Telechea","9"
"137","QAC","Toloza","33"
